"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"354",1,"2012","5","bovine",578149,499814,578233,499863,53,"231",748,0,26.756757,616.394629,2,3,0.762306,0,0,26.917,1.294,2.182,69.347,0,0,0,0,"231",2.182,1.294,26.917,1,26.917,69.347
"355",1,"2012","5","bovine",578169,499573,578268,499579,53,"311",777,0,0,672.240989,10,101,1.214644,0,0,16.937,9.767,0,49.904,0,0,0,0,"310",0,9.767,16.937,1,16.937,49.904
"356",1,"2012","5","bovine",578496,462128,578542,462153,35,"112",716,342,591.837396,47.836348,3,10,1.424179,0,0,36.709,25.751,5.149,8.759,0,0,0,0,"100",5.149,25.751,36.709,1,36.709,8.759
"357",1,"2009","9","bovine",578824,559120,578827,559170,16,"231",1160,0,202.193981,1192.852245,2,5,1.368364,0,0,50.324,10.503,9.115,0,16.707,0,0,13.35,"231",22.465,10.503,50.324,1,50.324,16.707
"358",1,"2009","7","bovine",579758,506616,579799,506696,53,"112",621,799,197.00605,0,4,9,1.70955,10.661,0,14.455,11.509,15.583,32.451,0,0,0,0,"100",15.583,22.17,14.455,1,14.455,32.451
"359",1,"2013","8","bovine",580066,503787,580067,503859,53,"231",711,0,57.722522,812.956636,4,10,1.243884,8.211,0,35.626,0,0,44.334,0,0,0,0,"231",0,8.211,35.626,1,35.626,44.334
"360",1,"2013","8","bovine",580151,503795,580178,503801,53,"231",708,0,59.255191,875.113358,4,10,1.243884,8.211,0,35.626,0,0,44.334,0,0,0,0,"231",0,8.211,35.626,1,35.626,44.334
"361",1,"2014","7","bovine",580223,519767,580225,519824,18,"231",865,0,120.351998,2269.536737,1,1,1.0728,14.947,0,46.512,0,0.894,37.234,0,0.412,0,0,"231",0.894,14.947,46.512,1,46.512,37.646
"362",1,"2013","10","bovine",581852,536025,581882,536124,18,"231",1159,0,99.702526,1548.057807,1,1,1.36833,0,0,29.321,15.912,0,0,25.071,29.56,0.137,0,"231",0,15.912,29.458,1,29.458,54.631
"363",1,"2012","9","bovine",583098,470671,583124,470691,35,"242",823,53,64.00415,594.337403,3,5,1.207223,0,0,18.946,23.452,4.407,51.397,0,0,0,0,"240",4.407,23.452,18.946,1,18.946,51.397
"364",1,"2009","7","bovine",583425,471807,583429,471876,35,"231",817,0,34.534654,1167.13282,1,1,0.530056,0,0,18.797,0,0.841,80.362,0,0,0,0,"231",0.841,0,18.797,1,18.797,80.362
"365",1,"2015","7","bovine",585435,526829,585435,526842,20,"112",711,712,1184.595414,0,1,1,1.401114,34.512,0,30.853,0,9.374,0,0,3.502,0,0,"100",9.374,34.512,30.853,1,30.853,3.502
"366",1,"2012","8","bovine",586237,467605,586283,467668,51,"231",829,197,113.793767,662.603361,2,2,1.618666,0,0,31.926,27.237,0,16.044,0,5.21,0,11.398,"231",11.398,27.237,31.926,1,31.926,21.254
"367",1,"2013","9","bovine",586646,532186,586719,532264,20,"321",861,0,4.886263,4845.641719,1,1,0.919571,0,0,0,0,0,0,0,11.679,29.002,59.319,"231",59.319,0,29.002,1,29.002,11.679
"368",1,"2008","9","bovine",586915,473363,586996,473448,69,"243",644,245,77.787278,0,2,2,1.468039,0,0,20.312,0,4.07,16.115,0.542,39.146,0,19.763,"240",23.833,0,20.312,1,20.312,55.803
"369",1,"2012","8","bovine",587814,472572,587903,472592,69,"231",840,0,166.30681,1057.424477,2,2,1.468039,0,0,20.312,0,4.07,16.115,0.542,39.146,0,19.763,"231",23.833,0,20.312,1,20.312,55.803
"370",1,"2015","8","bovine",587911,524797,587913,524886,20,"231",868,0,101.26451,2003.513811,1,1,0.816254,0,0,27.852,0,0,0,6.774,65.374,0,0,"231",0,0,27.852,1,27.852,72.148
"371",1,"2015","8","bovine",588134,460544,588191,460576,51,"321",926,0,77.561202,1677.868466,1,1,0.906126,0,0,2.389,0,0,63.528,6.213,0,27.87,0,"231",0,0,30.259,1,30.259,69.741
"372",1,"2015","9","bovine",588422.5,474005.01,588461.5,474075.01,69,"324",701,56,405.615959,444.286511,4,4,1.764669,0,0,14.715,16.293,10.303,13.317,0.341,0,0,18.748,"324",29.051,16.293,14.715,1,14.715,13.658
"373",1,"2015","5","bovine",588786,531741,588865,531756,20,"324",990,0,13.894965,5359.234323,1,1,0.960287,0,0,0,0,0,0,0.838,61.966,16.662,20.533,"324",20.533,0,16.662,1,16.662,62.804
"374",1,"2015","8","bovine",589252.88,459251.96,589308.88,459337.96,51,"311",702,85,0,96.005861,3,8,1.099502,0,0,2.113,0,5.805,40.128,3.174,48.323,0.438,0,"310",5.805,0,2.551,1,2.551,91.625
"375",1,"2013","8","bovine",590812,530297,590891,530337,20,"313",1195,0,0,5694.599053,1,1,0.750755,0,0,0,0,0,0,25.408,70.275,0.697,3.62,"310",3.62,0,0.697,1,0.697,95.683
"376",1,"2013","8","bovine",591848,530248,591849,530251,0,"313",1358,0,0,6550.503953,1,2,1.162554,0,0,0,0,0,0,14.521,55.01,20.656,9.813,"310",9.813,0,20.656,1,20.656,69.531
"377",1,"2013","8","bovine",591899,529639,591948,529725,0,"321",1275,0,72.609047,6324.198813,1,1,1.367783,0,0,0,0,0,0,17.801,23.802,29.117,29.28,"231",29.28,0,29.117,1,29.117,41.603
"378",1,"2012","8","bovine",596364,510783,596379,510812,77,"231",755,0,481.003426,651.259409,1,1,1.660181,22.31,0,30.553,1.287,14.546,0,0,2.927,0,0,"231",14.546,23.597,30.553,1,30.553,2.927
"379",1,"2013","6","bovine",598530,518247,598571,518284,58,"313",1163,0,0,4981.526324,1,1,1.29771,0,0,0,0,0,8.715,0,32.078,28.532,30.675,"310",30.675,0,28.532,1,28.532,40.793
"380",1,"2013","7","bovine",598783,516463,598851,516472,58,"321",1117,0,76.461494,3371.261258,1,1,0.982647,0,0,0,0,0,51.797,1.456,38.032,8.715,0,"231",0,0,8.715,1,8.715,91.285
"381",1,"2013","6","bovine",598890,517711,598962,517779,58,"311",1145,0,0,4568.9839,2,6,1.052758,0,0,0,0,0,51.378,0,34.744,2.76,11.119,"310",11.119,0,2.76,1,2.76,86.122
"382",1,"2014","7","bovine",598942,510496,598948,510593,58,"231",735,0,81.254207,818.702032,1,2,1.117204,3.088,0,30.249,0.008,15.677,50.772,0,0.205,0,0,"231",15.677,3.096,30.249,1,30.249,50.977
"383",1,"2011","7","bovine",605603,507498,605641,507556,60,"324",852,0,98.700305,1513.372647,2,2,1.064758,0,0,0,0,3.45,30.984,0,53.782,0,11.783,"324",15.233,0,0,1,0,84.766
"384",1,"2016","7","bovine",605845.7001,506963.0725,605940.7001,507046.0725,60,"311",911,0,0,1504.930817,2,2,1.064758,0,0,0,0,3.45,30.984,0,53.782,0,11.783,"310",15.233,0,0,0,0,84.766
"385",1,"2011","10","bovine",620664,496037,620758,496134,28,"311",630,23,0,1127.183169,1,1,1.242366,0,0,31.184,1.496,19.395,43.615,4.302,0.008,0,0,"310",19.395,1.496,31.184,1,31.184,47.925
"386",1,"2009","7","bovine",625584,481137,625640,481215,25,"311",943,0,0,961.261525,2,2,1.2084,0,0,16.261,1.138,0.08,39.082,1.294,40.521,0,1.625,"310",1.705,1.138,16.261,1,16.261,80.897
"387",1,"2014","7","bovine",625877,478574,625896,478612,25,"324",561,81,17.299158,490.73545,3,3,1.470393,0,0,2.106,0,13.467,17.52,11.027,46.945,0,8.936,"324",22.403,0,2.106,1,2.106,75.492
"388",1,"2009","7","bovine",626122,476634,626203,476660,25,"313",783,0,0,1228.773782,1,1,0.261294,0,0,0,0,0,1.315,1.582,94.766,0,2.337,"310",2.337,0,0,1,0,97.663
"389",1,"2010","11","bovine",626865,480072,626930,480171,25,"242",620,57,57.076917,322.861844,2,2,1.2084,0,0,16.261,1.138,0.08,39.082,1.294,40.521,0,1.625,"240",1.705,1.138,16.261,1,16.261,80.897
"390",1,"2012","8","bovine",627209,479410,627306,479500,25,"243",569,57,46.134126,377.323617,6,6,1.440075,0,0,10.831,0,4.292,5.293,15.493,50.232,0,13.859,"240",18.151,0,10.831,1,10.831,71.018
"391",1,"2010","11","bovine",627254,480746,627263,480823,25,"311",597,89,0,170.107734,6,6,1.52473,0,0,12.033,41.811,4.064,23.526,0,11.741,0,0,"310",4.064,41.811,12.033,1,12.033,35.267
"392",1,"2010","10","bovine",627681,480462,627710,480492,25,"242",579,247,15.368248,240.96692,6,6,1.52473,0,0,12.033,41.811,4.064,23.526,0,11.741,0,0,"240",4.064,41.811,12.033,1,12.033,35.267
"393",1,"2010","10","bovine",627681,480462,627717,480467,25,"242",579,247,15.368248,240.96692,6,6,1.52473,0,0,12.033,41.811,4.064,23.526,0,11.741,0,0,"240",4.064,41.811,12.033,1,12.033,35.267
"394",1,"2010","11","bovine",627681,480462,627696,480539,25,"242",579,247,15.368248,240.96692,6,6,1.52473,0,0,12.033,41.811,4.064,23.526,0,11.741,0,0,"240",4.064,41.811,12.033,1,12.033,35.267
